"Country or Area","Year","Area","Sex","Religion","Record Type","Reliability","Source Year","Value","Value Footnotes"
"Croatia","2001","Total","Both Sexes","Old Catholic Church","Census - de jure - complete tabulation","Final figure, complete","2005","303",""
"Croatia","2001","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2005","195969",""
"Croatia","2001","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2005","336",""
"Croatia","2001","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2005","4764",""
"Croatia","2001","Total","Both Sexes","Non-believers","Census - de jure - complete tabulation","Final figure, complete","2005","98376",""
"Croatia","2001","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2005","25874",""
"Cyprus","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2002","689565","15,16"
"Cyprus","2001","Total","Both Sexes","Anglican","Census - de jure - complete tabulation","Final figure, complete","2002","6839","15,16"
"Cyprus","2001","Total","Both Sexes","Armenian church","Census - de jure - complete tabulation","Final figure, complete","2002","1741","15,16"
"Cyprus","2001","Total","Both Sexes","Atheist","Census - de jure - complete tabulation","Final figure, complete","2002","1500","15,16"
"Cyprus","2001","Total","Both Sexes","Maronite church","Census - de jure - complete tabulation","Final figure, complete","2002","3930","15,16"
"Cyprus","2001","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2002","4182","15,16"
"Cyprus","2001","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2002","653635","15,16"
"Cyprus","2001","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2002","10240","15,16"
"Cyprus","2001","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2002","6505","15,16"
"Cyprus","2001","Total","Both Sexes","Not Stated","Census - de jure - complete tabulation","Final figure, complete","2002","993","15,16"
"Czechia","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2012","10436560",""
"Czechia","2011","Total","Both Sexes","Atheist","Census - de jure - complete tabulation","Final figure, complete","2012","1058",""
"Czechia","2011","Total","Both Sexes","Brethren","Census - de jure - complete tabulation","Final figure, complete","2012","10865",""
"Czechia","2011","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","9883",""
"Czechia","2011","Total","Both Sexes","Christian","Census - de jure - complete tabulation","Final figure, complete","2012","9377",""
"Czechia","2011","Total","Both Sexes","Czechoslovak Hussite Church","Census - de jure - complete tabulation","Final figure, complete","2012","39229",""
"Czechia","2011","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2012","51858",""
"Czechia","2011","Total","Both Sexes","Old Catholic Church","Census - de jure - complete tabulation","Final figure, complete","2012","1730",""
"Czechia","2011","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2012","20533",""
"Czechia","2011","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2012","1082463",""
"Czechia","2011","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2012","7391",""
"Czechia","2011","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2012","209028",""
"Czechia","2011","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2012","3604095",""
"Czechia","2011","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2012","705368",""
"Czechia","2011","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2012","13069",""
"Czechia","2011","Total","Both Sexes","Silesian Evangelical Church","Census - de jure - complete tabulation","Final figure, complete","2012","8158",""
"Czechia","2011","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2012","4662455",""
"Czechia","2001","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","10230060",""
"Czechia","2001","Total","Both Sexes","Czechoslovak Hussite Church","Census - de jure - complete tabulation","Final figure, complete","2009","99103",""
"Czechia","2001","Total","Both Sexes","Evangelical","Census - de jure - complete tabulation","Final figure, complete","2009","117212",""
"Czechia","2001","Total","Both Sexes","Old Catholic Church","Census - de jure - complete tabulation","Final figure, complete","2009","1605",""
"Czechia","2001","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2009","22968",""
"Czechia","2001","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2009","2740780",""
"Czechia","2001","Total","Both Sexes","Seventh Day Adventist","Census - de jure - complete tabulation","Final figure, complete","2009","9757",""
"Czechia","2001","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","259481",""
"Czechia","2001","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2009","6039991",""
"Czechia","2001","Total","Both Sexes","Jehovah's Witnesses","Census - de jure - complete tabulation","Final figure, complete","2009","23162",""
"Czechia","2001","Total","Both Sexes","Silesian Evangelical Church","Census - de jure - complete tabulation","Final figure, complete","2009","14020",""
"Czechia","2001","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2009","901981",""
"Dominica","2001","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2004","68635","17"
"Dominica","2001","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2004","423","17"
"Dominica","2001","Total","Both Sexes","Baptist","Census - de facto - complete tabulation","Final figure, complete","2004","2798","17"
"Dominica","2001","Total","Both Sexes","Church of God","Census - de facto - complete tabulation","Final figure, complete","2004","819","17"
"Dominica","2001","Total","Both Sexes","Islam ","Census - de facto - complete tabulation","Final figure, complete","2004","139","17"
"Dominica","2001","Total","Both Sexes","Jehovah Witness","Census - de facto - complete tabulation","Final figure, complete","2004","805","17"
"Dominica","2001","Total","Both Sexes","Methodist","Census - de facto - complete tabulation","Final figure, complete","2004","2572","17"
"Dominica","2001","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2004","3863","17"
"Dominica","2001","Total","Both Sexes","Rastafarian","Census - de facto - complete tabulation","Final figure, complete","2004","879","17"
"Dominica","2001","Total","Both Sexes","Roman Catholic","Census - de facto - complete tabulation","Final figure, complete","2004","42174","17"
"Dominica","2001","Total","Both Sexes","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2004","4144","17"
"Dominica","2001","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2004","252","17"
"Dominica","2001","Total","Both Sexes","Other Evangelical Churches","Census - de facto - complete tabulation","Final figure, complete","2004","4882","17"
"Dominica","2001","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2004","4165","17"
"Dominica","2001","Total","Both Sexes","Not Specified","Census - de facto - complete tabulation","Final figure, complete","2004","720","17"
"Estonia","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2013","1094564","14"
"Estonia","2011","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2013","1194","14"
"Estonia","2011","Total","Both Sexes","Apostolic","Census - de jure - complete tabulation","Final figure, complete","2013","341","14"
"Estonia","2011","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2013","4507","14"
"Estonia","2011","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2013","1145","14"
"Estonia","2011","Total","Both Sexes","Hare Rama Hare Krishna","Census - de jure - complete tabulation","Final figure, complete","2013","121","14"
"Estonia","2011","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2013","142","14"
"Estonia","2011","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2013","3938","14"
"Estonia","2011","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2013","355","14"
"Estonia","2011","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2013","108513","14"
"Estonia","2011","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2013","1098","14"
"Estonia","2011","Total","Both Sexes","Mormon","Census - de jure - complete tabulation","Final figure, complete","2013","185","14"
"Estonia","2011","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2013","1508","14"
"Estonia","2011","Total","Both Sexes","New Age","Census - de jure - complete tabulation","Final figure, complete","2013","272","14"
"Estonia","2011","Total","Both Sexes","Old Believers","Census - de jure - complete tabulation","Final figure, complete","2013","2605","14"
"Estonia","2011","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2013","176773","14"
"Estonia","2011","Total","Both Sexes","Pagan","Census - de jure - complete tabulation","Final figure, complete","2013","341","14"
"Estonia","2011","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2013","1855","14"
"Estonia","2011","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2013","4501","14"
"Estonia","2011","Total","Both Sexes","Satanist","Census - de jure - complete tabulation","Final figure, complete","2013","120","14"
"Estonia","2011","Total","Both Sexes","Spiritualist","Census - de jure - complete tabulation","Final figure, complete","2013","100","14"
"Estonia","2011","Total","Both Sexes","Taoist","Census - de jure - complete tabulation","Final figure, complete","2013","144","14"
"Estonia","2011","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2013","1899","14"
"Estonia","2011","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2013","1228","14"
"Estonia","2011","Total","Both Sexes","Refused to answer","Census - de jure - complete tabulation","Final figure, complete","2013","157216","14"
"Estonia","2011","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2013","592588","14"
"Estonia","2011","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2013","1804","14"
"Estonia","2011","Total","Both Sexes","Church of Charismatic Fellowship","Census - de jure - complete tabulation","Final figure, complete","2013","99","14"
"Estonia","2011","Total","Both Sexes","Church of Christian Fellowship","Census - de jure - complete tabulation","Final figure, complete","2013","269","14"
"Estonia","2011","Total","Both Sexes","Estonian Ancient Belief","Census - de jure - complete tabulation","Final figure, complete","2013","291","14"
"Estonia","2011","Total","Both Sexes","Russian Catholic Orthodox Church","Census - de jure - complete tabulation","Final figure, complete","2013","160","14"
"Estonia","2011","Total","Both Sexes","Ukrainian Greek-Catholic Church","Census - de jure - complete tabulation","Final figure, complete","2013","124","14"
"Estonia","2011","Total","Both Sexes","Charismatic Episcopal Church","Census - de jure - complete tabulation","Final figure, complete","2013","79","14"
"Estonia","2011","Total","Both Sexes","Taara or Earth Believer","Census - de jure - complete tabulation","Final figure, complete","2013","2972","14"
"Estonia","2011","Total","Both Sexes","Christian Free Congregations","Census - de jure - complete tabulation","Final figure, complete","2013","2189","14"
"Estonia","2011","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2013","23888","14"
"Estonia","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2002","1121582","14"
"Estonia","2000","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2002","1561","14"
"Estonia","2000","Total","Both Sexes","Apostolic","Census - de jure - complete tabulation","Final figure, complete","2002","216","14"
"Estonia","2000","Total","Both Sexes","Atheist","Census - de jure - complete tabulation","Final figure, complete","2002","68547","14"
"Estonia","2000","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2002","6009","14"
"Estonia","2000","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2002","622","14"
"Estonia","2000","Total","Both Sexes","Congregational","Census - de jure - complete tabulation","Final figure, complete","2002","272","14"
"Estonia","2000","Total","Both Sexes","Full Gospel Church","Census - de jure - complete tabulation","Final figure, complete","2002","190","14"
"Estonia","2000","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2002","90","14"
"Estonia","2000","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2002","3823","14"
"Estonia","2000","Total","Both Sexes","Judaism","Census - de jure - complete tabulation","Final figure, complete","2002","257","14"
"Estonia","2000","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2002","152237","14"
"Estonia","2000","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2002","1455","14"
"Estonia","2000","Total","Both Sexes","Mormon","Census - de jure - complete tabulation","Final figure, complete","2002","128","14"
"Estonia","2000","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2002","1387","14"
"Estonia","2000","Total","Both Sexes","Old Believers","Census - de jure - complete tabulation","Final figure, complete","2002","2515","14"
"Estonia","2000","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2002","143554","14"
"Estonia","2000","Total","Both Sexes","Pentecostal","Census - de jure - complete tabulation","Final figure, complete","2002","2648","14"
"Estonia","2000","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2002","5745","14"
"Estonia","2000","Total","Both Sexes","Other Apostolic Churches","Census - de jure - complete tabulation","Final figure, complete","2002","57","14"
"Estonia","2000","Total","Both Sexes","Other Christians","Census - de jure - complete tabulation","Final figure, complete","2002","1266","14"
"Estonia","2000","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2002","2302","14"
"Estonia","2000","Total","Both Sexes","Refused to answer","Census - de jure - complete tabulation","Final figure, complete","2002","89691","14"
"Estonia","2000","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2002","381911","14"
"Estonia","2000","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2002","163304","14"
"Estonia","2000","Total","Both Sexes","Charismatic Episcopal Church","Census - de jure - complete tabulation","Final figure, complete","2002","61","14"
"Estonia","2000","Total","Both Sexes","Taara or Earth Believer","Census - de jure - complete tabulation","Final figure, complete","2002","1058","14"
"Estonia","2000","Total","Both Sexes","Christian Free Congregations","Census - de jure - complete tabulation","Final figure, complete","2002","223","14"
"Estonia","2000","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2002","90297","14"
"Ethiopia","2007","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2010","73750932",""
"Ethiopia","2007","Total","Both Sexes","Catholic","Census - de facto - complete tabulation","Final figure, complete","2010","532187",""
"Ethiopia","2007","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2010","25037646",""
"Ethiopia","2007","Total","Both Sexes","Orthodox","Census - de facto - complete tabulation","Final figure, complete","2010","32092182",""
"Ethiopia","2007","Total","Both Sexes","Protestant","Census - de facto - complete tabulation","Final figure, complete","2010","13661588",""
"Ethiopia","2007","Total","Both Sexes","Traditional","Census - de facto - complete tabulation","Final figure, complete","2010","1956647",""
"Ethiopia","2007","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2010","470682",""
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2009","2955","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Baha'i","Census - de facto - complete tabulation","Final figure, complete","2009","12","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Buddhist","Census - de facto - complete tabulation","Final figure, complete","2009","5","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Christian","Census - de facto - complete tabulation","Final figure, complete","2009","1985","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2009","9","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Jewish","Census - de facto - complete tabulation","Final figure, complete","2009","1","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2009","9","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2009","11","18"
"Falkland Islands (Malvinas)","2006","Total","Both Sexes","None","Census - de facto - complete tabulation","Final figure, complete","2009","931","18"
"Fiji","2007","Total","Both Sexes","Anglican","Census - de facto - complete tabulation","Final figure, complete","2007","6313",""
"Fiji","2007","Total","Both Sexes","Assembly of God","Census - de facto - complete tabulation","Final figure, complete","2007","47778",""
"Fiji","2007","Total","Both Sexes","Catholic","Census - de facto - complete tabulation","Final figure, complete","2007","76433",""
"Fiji","2007","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2007","233393",""
"Fiji","2007","Total","Both Sexes","Methodist","Census - de facto - complete tabulation","Final figure, complete","2007","289923",""
"Fiji","2007","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2007","52520",""
"Fiji","2007","Total","Both Sexes","Seventh Day Adventist","Census - de facto - complete tabulation","Final figure, complete","2007","32308",""
"Fiji","2007","Total","Both Sexes","Sikh","Census - de facto - complete tabulation","Final figure, complete","2007","2577",""
"Fiji","2007","Total","Both Sexes","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2007","86781",""
"Fiji","2007","Total","Both Sexes","Other Religions","Census - de facto - complete tabulation","Final figure, complete","2007","2172",""
"Fiji","2007","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2007","7073",""
"Fiji","1996","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2003","775077",""
"Fiji","1996","Total","Both Sexes","Christian","Census - de facto - complete tabulation","Final figure, complete","2003","449482",""
"Fiji","1996","Total","Both Sexes","Hindu","Census - de facto - complete tabulation","Final figure, complete","2003","264173",""
"Fiji","1996","Total","Both Sexes","Muslim","Census - de facto - complete tabulation","Final figure, complete","2003","54323",""
"Fiji","1996","Total","Both Sexes","Other","Census - de facto - complete tabulation","Final figure, complete","2003","7099",""
"Finland","2021","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2021","5533793",""
"Finland","2021","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2021","3236",""
"Finland","2021","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2021","653",""
"Finland","2021","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2021","2512",""
"Finland","2021","Total","Both Sexes","Buddhist","Census - de jure - complete tabulation","Final figure, complete","2022","1826",""
"Finland","2021","Total","Both Sexes","Christian","Census - de jure - complete tabulation","Final figure, complete","2021","286",""
"Finland","2021","Total","Both Sexes","Free Church in Finland","Census - de jure - complete tabulation","Final figure, complete","2021","15064",""
"Finland","2021","Total","Both Sexes","Hindu","Census - de jure - complete tabulation","Final figure, complete","2022","368",""
"Finland","2021","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2021","19347",""
"Finland","2021","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2021","16787",""
"Finland","2021","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2021","1094",""
"Finland","2021","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2021","3230",""
"Finland","2021","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2021","3749713",""
"Finland","2021","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2021","1364",""
"Finland","2021","Total","Both Sexes","Other Lutheran Churches","Census - de jure - complete tabulation","Final figure, complete","2021","15329",""
"Finland","2021","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2021","2836",""
"Finland","2021","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2021","1627727",""
"Finland","2021","Total","Both Sexes","Roman Catholic Church in Finland","Census - de jure - complete tabulation","Final figure, complete","2021","14529",""
"Finland","2021","Total","Both Sexes","The Greek Orthodox Church in Finland","Census - de jure - complete tabulation","Final figure, complete","2021","60086",""
"Finland","2010","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2011","5375276",""
"Finland","2010","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2011","3648",""
"Finland","2010","Total","Both Sexes","Baha'i","Census - de jure - complete tabulation","Final figure, complete","2011","568",""
"Finland","2010","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2011","2356",""
"Finland","2010","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2011","10640",""
"Finland","2010","Total","Both Sexes","Christian","Census - de jure - complete tabulation","Final figure, complete","2011","10",""
"Finland","2010","Total","Both Sexes","Free Church in Finland","Census - de jure - complete tabulation","Final figure, complete","2011","14485",""
"Finland","2010","Total","Both Sexes","Islam ","Census - de jure - complete tabulation","Final figure, complete","2011","9393",""
"Finland","2010","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2011","19094",""
"Finland","2010","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2011","1208",""
"Finland","2010","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2011","3225",""
"Finland","2010","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2011","4207192",""
"Finland","2010","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2011","1301",""
"Finland","2010","Total","Both Sexes","Orthodox","Census - de jure - complete tabulation","Final figure, complete","2011","58449",""
"Finland","2010","Total","Both Sexes","Other Lutheran Churches","Census - de jure - complete tabulation","Final figure, complete","2011","7573",""
"Finland","2010","Total","Both Sexes","Other Orthodox Churches","Census - de jure - complete tabulation","Final figure, complete","2011","2402",""
"Finland","2010","Total","Both Sexes","Other Religions","Census - de jure - complete tabulation","Final figure, complete","2011","1303",""
"Finland","2010","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2011","1032429",""
"Finland","2000","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2001","5181115","19"
"Finland","2000","Total","Both Sexes","Adventist","Census - de jure - complete tabulation","Final figure, complete","2001","4316","19"
"Finland","2000","Total","Both Sexes","Baptist","Census - de jure - complete tabulation","Final figure, complete","2001","2395","19"
"Finland","2000","Total","Both Sexes","Free Church in Finland","Census - de jure - complete tabulation","Final figure, complete","2001","13474","19"
"Finland","2000","Total","Both Sexes","Greek Orthodox","Census - de jure - complete tabulation","Final figure, complete","2001","55692","19"
"Finland","2000","Total","Both Sexes","Islamic Congregation","Census - de jure - complete tabulation","Final figure, complete","2001","1199","19"
"Finland","2000","Total","Both Sexes","Jehovah Witness","Census - de jure - complete tabulation","Final figure, complete","2001","18492","19"
"Finland","2000","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2001","1157","19"
"Finland","2000","Total","Both Sexes","Latter Day Saints","Census - de jure - complete tabulation","Final figure, complete","2001","3307","19"
"Finland","2000","Total","Both Sexes","Lutheran","Census - de jure - complete tabulation","Final figure, complete","2001","4410609","19"
"Finland","2000","Total","Both Sexes","Methodist","Census - de jure - complete tabulation","Final figure, complete","2001","1260","19"
"Finland","2000","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2001","7227","19"
"Finland","2000","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2001","920","19"
"Finland","2000","Total","Both Sexes","Other Orthodox Churches","Census - de jure - complete tabulation","Final figure, complete","2001","1088","19"
"Finland","2000","Total","Both Sexes","No Religion","Census - de jure - complete tabulation","Final figure, complete","2001","659979","19"
"Georgia","2014","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2016","3713804",""
"Georgia","2014","Total","Both Sexes","Armeno-Gregorian","Census - de jure - complete tabulation","Final figure, complete","2016","109041",""
"Georgia","2014","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2016","19195",""
"Georgia","2014","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2016","1417",""
"Georgia","2014","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2016","398677",""
"Georgia","2014","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2016","24935",""
"Georgia","2014","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2016","34251",""
"Georgia","2014","Total","Both Sexes","None","Census - de jure - complete tabulation","Final figure, complete","2016","19080",""
"Georgia","2014","Total","Both Sexes","Christian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2016","3097573",""
"Georgia","2014","Total","Both Sexes","Unknown","Census - de jure - complete tabulation","Final figure, complete","2016","9635",""
"Georgia","2002","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2009","4371535",""
"Georgia","2002","Total","Both Sexes","Armeno-Gregorian","Census - de jure - complete tabulation","Final figure, complete","2009","171139",""
"Georgia","2002","Total","Both Sexes","Catholic","Census - de jure - complete tabulation","Final figure, complete","2009","34727",""
"Georgia","2002","Total","Both Sexes","Jewish","Census - de jure - complete tabulation","Final figure, complete","2009","3541",""
"Georgia","2002","Total","Both Sexes","Muslim","Census - de jure - complete tabulation","Final figure, complete","2009","433784",""
"Georgia","2002","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2009","33468",""
"Georgia","2002","Total","Both Sexes","Not Specified","Census - de jure - complete tabulation","Final figure, complete","2009","12",""
"Georgia","2002","Total","Both Sexes","None","Census - de jure - complete tabulation","Final figure, complete","2009","28631",""
"Georgia","2002","Total","Both Sexes","Christian Orthodox","Census - de jure - complete tabulation","Final figure, complete","2009","3666233",""
"Germany","2011","Total","Both Sexes","Total","Census - de jure - complete tabulation","Final figure, complete","2014","80219695",""
"Germany","2011","Total","Both Sexes","Protestant","Census - de jure - complete tabulation","Final figure, complete","2014","23369341",""
"Germany","2011","Total","Both Sexes","Roman Catholic","Census - de jure - complete tabulation","Final figure, complete","2014","24066604",""
"Germany","2011","Total","Both Sexes","Other","Census - de jure - complete tabulation","Final figure, complete","2014","32783750","20"
"Ghana","2010","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2013","24658823",""
"Ghana","2010","Total","Both Sexes","Catholic","Census - de facto - complete tabulation","Final figure, complete","2013","3230996",""
"Ghana","2010","Total","Both Sexes","Islam ","Census - de facto - complete tabulation","Final figure, complete","2013","4345723",""
"Ghana","2010","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2013","6980792",""
"Ghana","2010","Total","Both Sexes","Protestant","Census - de facto - complete tabulation","Final figure, complete","2013","4534178",""
"Ghana","2010","Total","Both Sexes","Traditional","Census - de facto - complete tabulation","Final figure, complete","2013","1270272",""
"Ghana","2010","Total","Both Sexes","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2013","2800871",""
"Ghana","2010","Total","Both Sexes","Other Religions","Census - de facto - complete tabulation","Final figure, complete","2013","193914",""
"Ghana","2010","Total","Both Sexes","No Religion","Census - de facto - complete tabulation","Final figure, complete","2013","1302077",""
"Ghana","2000","Total","Both Sexes","Total","Census - de facto - complete tabulation","Final figure, complete","2001","18912079","21"
"Ghana","2000","Total","Both Sexes","Catholic","Census - de facto - complete tabulation","Final figure, complete","2001","2864387",""
"Ghana","2000","Total","Both Sexes","Islam ","Census - de facto - complete tabulation","Final figure, complete","2001","3004794",""
"Ghana","2000","Total","Both Sexes","Pentecostal","Census - de facto - complete tabulation","Final figure, complete","2001","4551597",""
"Ghana","2000","Total","Both Sexes","Protestant","Census - de facto - complete tabulation","Final figure, complete","2001","3513060",""
"Ghana","2000","Total","Both Sexes","Traditional","Census - de facto - complete tabulation","Final figure, complete","2001","1604925",""
"Ghana","2000","Total","Both Sexes","Other Christians","Census - de facto - complete tabulation","Final figure, complete","2001","2085735",""
